"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"24" 1.04361264872822e-05 0.00306615214682308 1.4987508756945e-05 5.93096417801046e-05 6.38629143293905e-08 5.92928029193126e-05 0.000243089714450497 0.0155121998205843 1.18053143754316e-05 0.00133480103606338 0.000232448089795661 2.11994058982711e-05 0.000514481035724757 0.00158292055790256 3.88982612751794e-08 4.89543386121165e-05 0.000244795419105604 0.0173813513186894 0.0189169689498051 4.78445007095123e-05 0.000378295894285313 0.000391929726234494 4.75728763799641e-09 0.000695467376815046 0.0289281265109049 0.00814550772842586 0.00250484625537964 1.47021438111197e-05 5.78585041794499e-06 0.00390029330509937
"25" 1.53092957195371e-05 0.003644863851158 2.04026926262803e-05 7.98162189574342e-05 9.87346779352596e-08 7.97878670846907e-05 0.000308715440767247 0.0148687668787224 1.51808718664043e-05 0.00158637133912593 0.000311100657759536 2.91553036282259e-05 0.000623750994446401 0.00191682753890623 6.53796715523994e-08 6.74765938639228e-05 0.000313821930311724 0.0169209037002359 0.0189850466618737 6.71057074729098e-05 0.000487455383382882 0.000505453391677014 9.31327034020861e-09 0.000573709912264957 0.0287384225990483 0.00878648469643486 0.00302198350153244 2.30647647982766e-05 8.60681166659163e-06 0.00440668693854495
"26" 2.20261713824444e-05 0.00427222818217797 2.73741207579177e-05 0.000105678035890626 1.49729135754792e-07 0.000105631442980208 0.000387087787587833 0.014211340041467 1.9303511588351e-05 0.00186804486146415 0.000409606978172078 3.94580167410971e-05 0.000748915354057489 0.00228721092526436 1.07256560815566e-07 9.13605964231242e-05 0.000397114489547016 0.0164135767628998 0.018992641617798 9.2503971518522e-05 0.000619373081694375 0.000642611006861658 1.76490120501836e-08 0.00047537083510857 0.0285047225432223 0.00940133498680269 0.0035972426778479 3.52411732752119e-05 1.25558336073793e-05 0.00492918933527577
"27" 3.11258559474761e-05 0.00494319632409315 3.62375946098126e-05 0.000137827823852378 2.23042811472321e-07 0.000137752952888117 0.000479671581475541 0.0135502734778761 2.42920720621762e-05 0.00218113933271791 0.000531191533238372 5.26145306194589e-05 0.000891150379121646 0.00269233120577864 1.72052763965298e-07 0.00012167258522878 0.000496501484788349 0.0158681763051274 0.0189450790570216 0.000125490850131829 0.000776903731501617 0.000806268651402416 3.24536553342895e-08 0.000397055899524416 0.028215468368592 0.00998452117672275 0.00422895994577562 5.25442184580715e-05 1.79889865721288e-05 0.00546266862894135
"28" 4.32577408569931e-05 0.00565178352293441 4.73767541682006e-05 0.000177264518983636 3.26795718878975e-07 0.000177146687052833 0.00058794966180283 0.0128948409910297 3.02767684719349e-05 0.00252684002160045 0.000679236532078876 6.91991431447465e-05 0.00105159590421677 0.00312970272292394 2.7030758238032e-07 0.000159579220104385 0.000613863626147315 0.015292840319816 0.0188477369947307 0.000167736869023779 0.000962966147771478 0.000999297280910515 5.80319170499928e-08 0.000336173385189457 0.0278623901191866 0.0105314580796809 0.00491425176569104 7.65811288311095e-05 2.53446750461244e-05 0.00600184122968356
"29" 5.91928445929876e-05 0.00639128143195142 6.12257257722335e-05 0.000225042765384796 4.71489997223891e-07 0.000224860881121721 0.000713406047029421 0.0122532868941728 3.73994154409106e-05 0.00290619476320165 0.000857228497549719 8.98551559369058e-05 0.00123134501669405 0.00359620588413089 4.16525757351722e-07 0.000206337382163481 0.000751111828347985 0.0146950264708733 0.0187059819596479 0.000221141083756759 0.00118051301694575 0.00122452393740407 1.01103652834936e-07 0.000290846839740128 0.0274407542754221 0.0110385488682639 0.00564905451766904 0.000109272655754259 3.51550352062255e-05 0.00654139298766399
"30" 7.98341858735828e-05 0.00715448531014605 7.82713647391723e-05 0.000282260635714056 6.70544004370182e-07 0.000281984913012011 0.00085750905456815 0.011632886184478 4.58135841832902e-05 0.00332011048289382 0.00106869794156466 0.000115295626194775 0.00143143448889425 0.0040882301833662 6.30343083008144e-07 0.000263280971766027 0.00091016365235664 0.0140815139800366 0.0185251139778673 0.000287837512262343 0.00143250120497581 0.00148468197294034 1.71915419835179e-07 0.000259848665454451 0.0269493046310944 0.0115031925068237 0.00642819897265279 0.000152861186805465 4.80573644692213e-05 0.00707609526100431
"31" 0.000106225782768446 0.00793392537440533 9.90550319379948e-05 0.000350045942442114 9.40907728261603e-07 0.000349634979737817 0.00102169471020458 0.0110400105624507 5.56846932836666e-05 0.00376935094847989 0.00131715367574756 0.000146303138922084 0.00165283605587012 0.00460184095979631 9.37934672295593e-07 0.00033180507051647 0.00109291875623327 0.0134584169411161 0.0183103198411141 0.000370198097961942 0.00172186329618775 0.00178236145950362 2.85751384896389e-07 0.000242551030771403 0.0263900009431079 0.0119237659438379 0.00724551586504349 0.000209905342023121 6.48052840551117e-05 0.00760091355913432
"32" 0.000139559874790648 0.0087220928320751 0.000124173849422527 0.000429541572843759 1.30376480768573e-06 0.000428938675253175 0.00120735075276099 0.0104801976123036 6.71900330463084e-05 0.00425453549238508 0.00160601350301141 0.000183728585133623 0.00189644861488586 0.00513296202115243 1.37369154815725e-06 0.000413347954313048 0.00130123381623881 0.0128312065299947 0.0180666337945891 0.000470831938572227 0.00205148097422152 0.00211996092020127 4.64943624903321e-07 0.000238890976338248 0.025767646051131 0.0122995847646174 0.0080939679756751 0.000283259122646182 8.62793107979972e-05 0.00811110693372559
"33" 0.000181181984860104 0.00951165262718653 0.000154281387160652 0.000521890323137135 1.78532571997525e-06 0.000521018933823179 0.00141580150408263 0.00995822108575573 8.05187240026483e-05 0.00477613846472139 0.00193853316701958 0.000228488957113046 0.00216309140385964 0.00567756590782474 1.98218880479719e-06 0.000509371543715052 0.00153689737905093 0.0122047399712482 0.0177989048667 0.000592580597509645 0.00242416073631126 0.00249964145221813 7.4149291563526e-07 0.000249346902797664 0.0250894731864595 0.0126308461003452 0.00896580355658666 0.000376034449027696 0.000113496498252204 0.00860231676470983
"34" 0.000232593470886267 0.0102956365742813 0.000190087740626785 0.000628219730760698 2.41771579841235e-06 0.000626977828715613 0.00164829383524741 0.00947816073860318 9.58716107650433e-05 0.0053344892038866 0.00231773549889611 0.000281564196087195 0.00245349819770802 0.00623186364009622 2.82046501343748e-06 0.000621340951968632 0.00180160509551598 0.0115832944628889 0.0175117701413041 0.000738509400392866 0.00284261230893956 0.00292328422519762 1.16041931403849e-06 0.000274923890011928 0.0243647450146632 0.0129185575559751 0.00985272560551924 0.000491546859611428 0.000147618800415803 0.00907064402685235
"35" 0.000295451261560321 0.0110676122104187 0.000232358967399048 0.000749627408294089 3.23996069128886e-06 0.000747880722820058 0.00190598441879961 0.00904347057400137 0.000113461092964854 0.00592977234206107 0.00274634169535648 0.0003439931500435 0.00276831254442201 0.00679248622871176 3.9606278146443e-06 0.000750703837412391 0.00209693576675405 0.0109706045555527 0.0172096333433289 0.000911894706058873 0.00330943001179035 0.00339245223412086 1.78396591764092e-06 0.000317145519233521 0.0236043968645202 0.013164455782176 0.0107460714086601 0.000633245187948903 0.000189959814666741 0.00951271451528194
"36" 0.000371564526354458 0.0118218242787918 0.000281915859757241 0.000887167368448155 4.29907067661957e-06 0.000884741256617667 0.00218992841524879 0.00865704466470125 0.000133510895511355 0.00656202829674879 0.00322670659347802 0.000416868719218089 0.00310808404679288 0.00735665097970954 5.49279476826987e-06 0.000898870284568099 0.00242432860580485 0.0103699017368667 0.0168966481715203 0.00111620722747303 0.00382707720224299 0.00390835706749858 2.69677782159747e-06 0.00037805006319592 0.0228207400559172 0.0133709180979791 0.0116369968878808 0.000804627120409121 0.000241989573971583 0.00992573185178754
"37" 0.000462888093950906 0.0125533072041783 0.000339632039451302 0.00104183779803288 5.65122391323426e-06 0.00103850763088446 0.00250106970133155 0.00832127997280459 0.000156255780853778 0.00723115383477039 0.00376075968055155 0.000501332283525586 0.0034732656811144 0.00792230662251901 7.52837158869594e-06 0.00106719392724075 0.00278506208358925 0.00978395519062699 0.0165767058682719 0.00135509156081417 0.00439787382760802 0.0044718313236584 4.01217023964863e-06 0.000460189084600529 0.0220272280383536 0.0135408702914801 0.0125166605821271 0.00100914358879133 0.000305337081933544 0.0103075183857998
"38" 0.000571512504382892 0.0132579681929684 0.000406431370145272 0.00121457069161437 7.36304725502989e-06 0.00121005059832543 0.00284023270867446 0.00803813577261426 0.000181941206321555 0.00793690263044665 0.00434995340041297 0.000598567519526423 0.0038642121309892 0.00848825246713652 1.02036619865585e-05 0.00125695498884132 0.00318023468803075 0.00921511288813637 0.0162534265666255 0.00163234215894015 0.00502398701908628 0.00508330717366288 5.87958392066145e-06 0.000566626649541825 0.0212382784402683 0.0136776934038804 0.0133764025279085 0.00125009589530266 0.000381790317316798 0.0106565443451489
"39" 0.000699650655928161 0.0139326416701151 0.00048328469238771 0.0014062236949243 9.51299169773455e-06 0.00140015352217155 0.00320811590537686 0.00780918942104793 0.000210822929957561 0.00867888577389994 0.00499522009906359 0.000709793724209392 0.00428117910260018 0.00905422808362474 1.36837946183588e-05 0.00146934585237175 0.00361074788099253 0.00866534232948901 0.0159301539992193 0.00195187605669228 0.00570742458128852 0.00574280143215122 8.49330154602086e-06 0.000700937525787964 0.0204691379703831 0.0137851319530164 0.0142079138466809 0.00153053023435404 0.000473293476536964 0.0109719457839886
"40" 0.000849621086051261 0.0145751166482557 0.000571205895173716 0.00161757443657729 1.21927978860664e-05 0.00160950479312931 0.00360528692030977 0.00763568832063902 0.000243166568546773 0.0094565722174486 0.00569693870169414 0.000836258768814693 0.00472432357749345 0.00962097133053118 1.81669432991676e-05 0.00170545968837817 0.00407729149047438 0.00813627038921255 0.015609953193721 0.0023177027186218 0.00645003116455055 0.00644990736004771 1.21024652558718e-05 0.000867202901566846 0.0197357740137592 0.0138672056897639 0.0150033934640351 0.00185313480968853 0.000581941272195367 0.0112535320220141
"41" 0.00102382800425076 0.0151841393169481 0.000671247347113215 0.00184931754710413 1.55090454050154e-05 0.00183869282166598 0.00403217928105529 0.00751859799085361 0.000279247111779202 0.0102692891771612 0.00645491194016596 0.000979231808166884 0.00519370495004961 0.0101902438789544 2.38888068795801e-05 0.00196628256760415 0.0045803317264521 0.0076292218365791 0.015295610814643 0.00273389143350378 0.00725348685403363 0.00720379328817416 1.70223927799666e-05 0.00107000233204303 0.0190547761927423 0.0139281266156488 0.01575568904585 0.00222014500507052 0.000709970161783383 0.0115017833744588
