"X2.126","X2.348","X2.593","X2.864","X3.163","X3.494","X3.859","X4.262","X4.707","X5.199","X5.742","X6.342","X7.005","X7.736","X8.545","X9.437","X10.423","X11.512","X12.715","X14.044","X15.511","X17.131","X18.921","X20.898","X23.082","X25.493","X28.157","X31.099","X34.348","X37.936","X41.9","X46.277","X51.112","X56.453","X62.351","X68.865","X76.06","X84.007","X92.784","X102.478","X113.184","X125.01","X138.071","X152.496","X168.429","X186.026","X205.462","X226.928","X250.637","X276.824","X305.746","X337.69","X372.971","X411.939","X454.978","X502.513","X555.015","X613.003","X677.049","X747.786"
"26",0.485825,0.839769,1.390528,2.113406,2.897154,3.695837,4.398182,5.021151,5.503764,5.597569,5.681619,5.403188,5.170906,4.974608,4.639499,4.15642,3.679108,3.275025,2.949485,2.658787,2.398499,2.174076,2.009049,1.859822,1.745999,1.63959,1.543737,1.467788,1.402872,1.364924,1.333074,1.297645,1.260549,1.253527,1.246703,1.20011,1.20155,1.199656,1.167187,1.132524,1.104207,1.05828,1.015177,0.972692,0.91554,0.860844,0.807277,0.759289,0.699904,0.652554,0.601131,0.559393,0.523366,0.48177,0.45141,0.423065,0.40412,0.383528,0.371913,0.365323
"27",0.479562,0.827203,1.369556,2.085277,2.866601,3.666151,4.367318,4.991982,5.483771,5.578252,5.680586,5.404201,5.187679,5.005962,4.690122,4.217406,3.747482,3.345427,3.016424,2.713738,2.446446,2.213331,2.041165,1.886763,1.770081,1.667446,1.573818,1.498138,1.432607,1.394723,1.360833,1.321619,1.277915,1.26452,1.250425,1.193855,1.187317,1.17727,1.137977,1.098324,1.066403,1.019237,0.976135,0.93443,0.880051,0.829529,0.780335,0.73628,0.681959,0.63939,0.592009,0.553703,0.52108,0.481666,0.452644,0.425026,0.40632,0.385135,0.372418,0.36411
"30",0.433723,0.733955,1.219647,1.874964,2.6098,3.374033,4.064026,4.689486,5.181446,5.326888,5.451535,5.251602,5.086728,4.956739,4.684302,4.256125,3.809632,3.416187,3.085252,2.774826,2.494666,2.246199,2.059537,1.898322,1.778313,1.680483,1.600774,1.539225,1.492555,1.474889,1.462238,1.441148,1.410138,1.407578,1.399345,1.346031,1.343309,1.33237,1.285109,1.233817,1.189652,1.128255,1.071071,1.01595,0.947717,0.884748,0.824198,0.771412,0.709054,0.660423,0.608982,0.567745,0.533267,0.492946,0.463431,0.435337,0.41679,0.395005,0.382238,0.373672
"31",0.522928,0.882036,1.41948,2.104397,2.837823,3.575225,4.224364,4.801268,5.243348,5.346529,5.421008,5.184854,4.98044,4.816275,4.510659,4.064504,3.612606,3.225476,2.905197,2.612908,2.358059,2.142356,1.979704,1.839423,1.738731,1.656705,1.583829,1.527399,1.483105,1.467165,1.457458,1.435215,1.40829,1.409623,1.406546,1.356394,1.355874,1.351357,1.308365,1.260864,1.220633,1.162216,1.106861,1.052194,0.982645,0.917671,0.854015,0.797802,0.730878,0.677318,0.620209,0.573723,0.534362,0.489807,0.45637,0.425556,0.404611,0.382534,0.369544,0.361393
"32",0.578937,0.975558,1.549745,2.262771,3.007076,3.73422,4.354487,4.882192,5.262533,5.318763,5.339285,5.087753,4.876139,4.733927,4.468588,4.081208,3.682365,3.338022,3.051215,2.774464,2.516993,2.282301,2.090994,1.920634,1.786454,1.668582,1.565164,1.486364,1.425201,1.393782,1.370168,1.342446,1.31244,1.306951,1.299574,1.255635,1.251078,1.242104,1.20458,1.163112,1.127248,1.076222,1.02837,0.982379,0.923613,0.869236,0.815909,0.769281,0.712137,0.667309,0.619018,0.579519,0.5456,0.505239,0.475298,0.446132,0.426434,0.402735,0.388667,0.37884
"34",0.424537,0.701185,1.144882,1.74366,2.421025,3.138229,3.81491,4.450209,4.974823,5.199553,5.385429,5.262779,5.145746,5.044664,4.774373,4.335523,3.862249,3.439069,3.08356,2.755379,2.46501,2.215196,2.03192,1.887792,1.787807,1.708774,1.641643,1.589807,1.551129,1.535575,1.522971,1.501182,1.468489,1.459726,1.448572,1.394362,1.38349,1.365726,1.317751,1.266857,1.222823,1.162044,1.105276,1.050869,0.982696,0.919729,0.857945,0.803791,0.738657,0.686742,0.631785,0.586842,0.54853,0.503972,0.470486,0.439264,0.418319,0.39476,0.380985,0.372025
"35",0.473519,0.789795,1.273744,1.902766,2.590858,3.295635,3.935131,4.51585,4.97943,5.143256,5.264559,5.106351,4.963289,4.862227,4.608122,4.206307,3.781638,3.405214,3.088702,2.79971,2.539113,2.312978,2.139464,1.990107,1.87717,1.779871,1.692042,1.61961,1.561167,1.527332,1.499463,1.462405,1.421157,1.40872,1.39462,1.340465,1.332388,1.319355,1.276637,1.231722,1.193712,1.140138,1.089953,1.041139,0.978169,0.919007,0.860103,0.808534,0.744841,0.693218,0.637387,0.591491,0.551827,0.505817,0.470428,0.437371,0.414678,0.390031,0.375142,0.36519
"36",0.513079,0.889567,1.459197,2.182801,2.947658,3.704704,4.351535,4.902901,5.303175,5.349547,5.381408,5.115679,4.902897,4.755597,4.489504,4.095156,3.698163,3.356752,3.074256,2.8027,2.547397,2.312139,2.121982,1.948218,1.807285,1.680984,1.572682,1.488621,1.422301,1.385623,1.359961,1.333506,1.306675,1.306673,1.304285,1.260379,1.260169,1.254591,1.216762,1.174774,1.138222,1.084488,1.033996,0.98482,0.922663,0.864774,0.808369,0.759183,0.700235,0.654043,0.604348,0.5646,0.531238,0.491788,0.46266,0.435302,0.417558,0.396379,0.38428,0.376534
"38",0.434089,0.722533,1.181219,1.793966,2.480475,3.197905,3.862663,4.474312,4.972664,5.169703,5.325097,5.186739,5.065828,4.975671,4.730248,4.328139,3.899403,3.517162,3.197386,2.900979,2.627753,2.383074,2.192256,2.027534,1.896934,1.781755,1.683287,1.60663,1.544993,1.512168,1.483706,1.452425,1.418382,1.409328,1.397857,1.34567,1.335131,1.319243,1.271944,1.220178,1.174591,1.113137,1.055052,0.999056,0.93141,0.869178,0.809137,0.757355,0.696946,0.649445,0.600146,0.560742,0.528003,0.48988,0.46164,0.435345,0.418544,0.398155,0.386741,0.379382
"39",0.479676,0.780532,1.234851,1.824927,2.480152,3.157709,3.78783,4.364556,4.824366,5.013424,5.127025,4.986458,4.843409,4.743276,4.494113,4.120829,3.727191,3.386108,3.106017,2.852615,2.623262,2.41544,2.250759,2.10712,1.987891,1.881187,1.784595,1.704456,1.636081,1.594755,1.561065,1.522111,1.481881,1.466007,1.447974,1.397012,1.3832,1.364159,1.318875,1.269511,1.225576,1.166229,1.110107,1.055876,0.988209,0.925406,0.862837,0.80846,0.743264,0.690883,0.635468,0.589673,0.550534,0.505937,0.471639,0.440149,0.418823,0.395037,0.381028,0.371735
