"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27"
"21" 1.23127483297812e-05 4.23226007318235e-09 0.00105046203234825 5.97776799947822e-06 3.60129300351758e-05 7.4120209311998e-07 0.000216962288455435 1.09948318635405e-07 0.000130612792576328 8.22120373199887e-05 2.28891714695208e-07 5.41298932785026e-05 1.06453792094559e-06 0.00641903111149537 1.01508314230763e-06 1.38415923423013e-07 1.6328919951864e-06 2.74869048653285e-06 1.78865597690181e-08 2.12462025081483e-05 2.00249734111472e-06 2.30140691523084e-05 5.08134040229232e-07 2.08739527095403e-07 1.42607597166895e-05 0.000331316075649148 2.09460664940741e-05
"22" 1.74229981085565e-05 7.80400079104667e-09 0.00124815240881266 8.05900904857395e-06 4.47087457160508e-05 1.11473590600085e-06 0.000272894869014405 1.73730932966304e-07 0.00016076908998494 0.000102210645112813 3.81264696407166e-07 7.3349034752912e-05 1.5483591711438e-06 0.00724306620136095 1.47291987801007e-06 2.04299448080471e-07 2.36699911504746e-06 4.02990024021298e-06 2.96124830702827e-08 2.88493906977685e-05 2.78723292174753e-06 3.0367140915975e-05 7.66556979800238e-07 3.16238936331905e-07 1.91450088557673e-05 0.000418625786578227 2.94467793207644e-05
"23" 2.41934427142883e-05 1.39467795822157e-08 0.00146780514519325 1.07079748841931e-05 5.49343754284447e-05 1.64201947240446e-06 0.000338965844892481 2.68298549975993e-07 0.000195856536048351 0.000125760282664942 6.18086962696187e-07 9.77450844324291e-05 2.21022166531357e-06 0.00810371959734391 2.09751802851381e-06 2.95969622689711e-07 3.36734531292263e-06 5.79726779984877e-06 4.78172010181151e-08 3.85288600320605e-05 3.81566736432679e-06 3.94908253418901e-05 1.13260731517638e-06 4.69306954318623e-07 2.53308938420428e-05 0.000522367275726276 4.06213640222673e-05
"24" 3.30192523484399e-05 2.42208331211659e-08 0.00170988451428676 1.4039495476845e-05 6.6864593116064e-05 2.37312914445226e-06 0.000416222525056719 4.05745252127926e-07 0.000236360832924237 0.000153270932472686 9.77449619247696e-07 0.000128277563019855 3.10128549962478e-06 0.00899637865649201 2.93609176177058e-06 4.21516355132017e-07 4.7088448346776e-06 8.19602804303944e-06 7.54697071633334e-08 5.06812228450464e-05 5.14490396258036e-06 5.06764948110555e-05 1.64190669515477e-06 6.83432301309318e-07 3.30721406156251e-05 0.000644394843093986 5.50732017390746e-05
"25" 4.43542411432216e-05 4.09702872092942e-08 0.00197469526159468 1.81837674075595e-05 8.068342178261e-05 3.37033692665461e-06 0.000505717217730355 6.01895069875498e-07 0.00028278168686405 0.000185174176417666 1.51089612521568e-06 0.000165996446021238 4.28344692489529e-06 0.0099162589593756 4.0455245929127e-06 5.90980666262648e-07 6.48159950120664e-06 1.14035605852558e-05 1.16639540034184e-07 6.57448743837804e-05 6.84119927322914e-06 6.42400180568466e-05 2.33896386010395e-06 9.78144482609396e-07 4.26540389529241e-05 0.000786606703201847 7.34850014526569e-05
"26" 5.87129546025102e-05 6.76396775701498e-08 0.00226238399097185 2.32872872017707e-05 9.65839078366777e-05 4.71006922120464e-06 0.000608497126549955 8.77145689146918e-07 0.000335631165011006 0.000221922471175457 2.28686897801267e-06 0.000212037721990017 5.83073901671619e-06 0.0108584842349995 5.49356471878048e-06 8.16689136236081e-07 8.79273389461776e-06 1.56339690395451e-05 1.76813001332949e-07 8.41996144342924e-05 8.98071585621259e-06 8.05209487273095e-05 3.27866639288664e-06 1.37775702295036e-06 5.43948768419816e-05 0.000950930389802084 9.6618884269837e-05
"27" 7.66718191693503e-05 1.0918773323289e-07 0.00257294271184221 2.95137306762327e-05 0.000114767874897204 6.48499129451702e-06 0.000725594343122216 1.25743030213042e-06 0.000395432065838505 0.000263988341816675 3.39467617571985e-06 0.00026761723481541 7.83077762945849e-06 0.0118181615873854 7.36004324560675e-06 1.11362173699813e-06 1.17682554137414e-05 2.11428767362797e-05 2.63274037882817e-07 0.000106565777409529 1.16502532234003e-05 9.98814316832471e-05 4.52788440671544e-06 1.91218719323698e-06 6.86471931742929e-05 0.00113930785212089 0.000125314782735536
"28" 9.88692630544565e-05 1.72618460621729e-07 0.00290621432406166 3.70447699231742e-05 0.000135445659559576 8.80619858944739e-06 0.00085801607423738 1.77530087490413e-06 0.000462716314586433 0.000311863499381546 4.94897627429049e-06 0.000334022891706582 1.03862364027445e-05 0.0127904513004165 9.73809933645147e-06 1.49981335698844e-06 1.55549133111396e-05 2.82323890155937e-05 3.85557124932907e-07 0.000133402908981033 1.49479497802931e-05 0.000122704844377062 6.1671744523725e-06 2.61785163665837e-06 8.57988320749958e-05 0.00135368043656908 0.00016048708276702
"29" 0.000126004739596884 2.67651135499668e-07 0.00326189981590013 4.60808201855292e-05 0.000158835831456368 1.18054929059932e-05 0.00100673522968345 2.47113412466723e-06 0.000538023393622116 0.000366057888055477 7.09476437338921e-06 0.000412605353477237 1.3616333276935e-05 0.0137706306735338 1.27353953959848e-05 1.99678903088809e-06 2.03220295384134e-05 3.72561656971147e-05 5.55979289232739e-07 0.000165308038350261 1.89839492238474e-05 0.000149394194033709 8.29256932690421e-06 3.53863631879847e-06 0.000106273784165735 0.00159597393581068 0.000203119480562007
"30" 0.00015883660829895 4.07551923269205e-07 0.00363956695367026 5.68417095454835e-05 0.000185164899786857 1.56377187572763e-05 0.00117268148357006 3.39445933075585e-06 0.000621898816309496 0.000427098667421346 1.00128237618144e-05 0.000504767354588931 1.7658309939646e-05 0.0147541514983449 1.64753047935072e-05 2.63003258998347e-06 2.62632734125231e-05 4.86245415716492e-05 7.90258032100644e-07 0.000202913604266652 2.3881025630611e-05 0.000180370294162964 1.10174370674034e-05 4.726938254957e-06 0.000130532802074644 0.00186808387365519 0.000254258072182477
